"";"Índice general - Índice";"Alimentos y bebidas no alcohólicas - Índice";"Bebidas alcohólicas y tabaco - Índice";"Vestido y calzado - Índice";"Vivienda, agua, electricidad, gas y otros combustibles - Índice";"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar - Índice";"Sanidad - Índice";"Transporte - Índice";"Comunicaciones - Índice";"Ocio y cultura - Índice";"Enseñanza - Índice";"Restaurantes y hoteles - Índice";"Otros bienes y servicios - Índice"
"2008";"86.844";"87.049";"62.186";"98.448";"76.372";"94.781";"85.065";"87.475";"114.238";"102.593";"79.248";"85.110";"80.530"
"2009";"85.873";"85.245";"67.313";"96.924";"77.861";"97.172";"83.507";"78.690";"113.615";"103.851";"81.833";"86.445";"82.291"
"2010";"87.157";"84.426";"76.079";"96.949";"79.815";"96.310";"83.406";"83.502";"112.480";"102.817";"84.053";"87.156";"83.947"
"2011";"90.212";"85.860";"78.949";"97.439";"86.710";"98.433";"83.453";"90.696";"112.897";"102.620";"85.266";"89.420";"86.372"
"2012";"91.947";"87.314";"88.149";"97.811";"90.812";"96.822";"80.906";"94.334";"108.503";"103.559";"86.760";"90.544";"87.842"
"2013";"94.660";"91.988";"91.909";"98.150";"93.763";"98.188";"94.007";"96.093";"104.125";"105.727";"93.965";"91.253";"90.861"
"2014";"94.558";"89.679";"94.253";"98.252";"96.066";"99.288";"93.823";"96.844";"98.077";"104.013";"94.868";"91.213";"91.928"
"2015";"94.427";"91.614";"95.776";"98.841";"95.370";"98.951";"93.970";"92.681";"96.408";"103.367";"95.522";"91.676";"93.330"
"2016";"93.409";"92.886";"95.786";"99.520";"89.959";"99.170";"94.768";"88.267";"98.205";"101.228";"96.654";"91.713";"94.144"
"2017";"94.699";"92.989";"96.680";"99.995";"92.777";"100.033";"95.382";"89.776";"100.460";"102.965";"97.484";"93.535";"95.175"
"2018";"97.103";"95.776";"99.240";"101.021";"94.980";"98.993";"95.418";"96.113";"103.298";"103.440";"97.376";"95.687";"95.815"
"2019";"97.488";"95.804";"99.283";"101.952";"93.587";"99.472";"97.268";"97.999";"103.837";"100.676";"97.648";"97.367";"96.591"
"2020";"97.003";"98.550";"99.939";"102.943";"89.610";"99.882";"98.344";"91.664";"104.786";"100.121";"99.306";"99.177";"98.559"
"2021";"100.022";"99.874";"99.497";"104.324";"98.891";"100.653";"100.205";"99.931";"100.179";"99.503";"99.935";"99.760";"99.555"
"2022";"110.033";"111.541";"103.661";"105.470";"117.193";"104.746";"101.211";"120.453";"100.056";"102.884";"100.298";"106.772";"103.412"
"2023";"112.561";"124.919";"112.566";"107.335";"103.188";"111.171";"102.361";"109.590";"102.757";"108.367";"103.071";"113.955";"111.215"
"2024";"116.004";"129.403";"116.638";"106.946";"108.513";"111.145";"104.849";"112.021";"103.150";"111.950";"105.202";"119.197";"113.960"
