"Año";"Total";"Residentes_Extranjero";"Residentes_España"
"1999";"2140599";"274192";"1866407"
"2000";"2168163";"313706";"1854457"
"2001";"2237751";"308621";"1929129"
"2002";"2245783";"318278";"1927503"
"2003";"2229059";"272283";"1956777"
"2004";"2310763";"327666";"1983095"
"2005";"2615967";"373011";"2242958"
"2006";"2800814";"363913";"2436900"
"2007";"2690985";"380756";"2310229"
"2008";"2493231";"383027";"2110204"
"2009";"2542143";"340729";"2201416"
"2010";"2468289";"391909";"2076381"
"2011";"2353392";"382579";"1970807"
"2012";"2265236";"364666";"1900571"
"2013";"2316718";"397329";"1919389"
"2014";"2375554";"400836";"1974717"
"2015";"2483694";"423426";"2060270"
"2016";"2715454";"505086";"2210368"
"2017";"2810714";"515396";"2295318"
"2018";"2910479";"560072";"2350404"
"2019";"2937345";"599309";"2338037"
"2020";"1371166";"136597";"1234572"
"2021";"2091511";"315170";"1776342"
"2022";"2937970";"680684";"2257286"
"2023";"2935740";"613458";"2322282"
"2024";"2949950";"659249";"2290701"
